date,barge_tonnes,rail_tonnes,road_tonnes,kaub_w_min_cm,kaub_days_below80_pct,total_demand_tonnes
2023-03-01,7093936,5165580,2864000,90.0,0.0,15123516
2023-04-01,6680857,4099137,2612000,198.0,0.0,13391994
2023-05-01,7075132,4239236,2830000,194.0,0.0,14144368
2023-06-01,6147539,4522228,2864000,115.0,0.0,13533767
2023-07-01,5737834,4369380,2882000,89.0,0.0,12989214
2023-08-01,5820908,4131974,2607000,107.0,0.0,12559882
2023-09-01,5616512,4262138,2547000,116.0,0.0,12425650
2023-10-01,5801307,4563489,2507000,67.0,23.9,12871796
2023-11-01,6611134,4330057,3324000,189.0,0.0,14265191
2023-12-01,6441082,3514370,3324000,354.0,0.0,13279452
2024-01-01,6409496,4124212,2779000,247.0,0.0,13312708
2024-02-01,6123775,4464427,2729000,256.0,0.0,13317202
2024-03-01,6615173,4396248,2765000,216.0,0.0,13776421
2024-04-01,6429467,4418541,2839000,200.0,0.0,13687008
2024-05-01,6315126,4152341,3013000,232.0,0.0,13480467
2024-06-01,6224548,4242644,2923000,328.0,0.0,13390192
2024-07-01,6610022,4377652,3125000,224.0,0.0,14112674
2024-08-01,6247322,3886217,2743000,118.0,0.0,12876539
2024-09-01,6314334,4007126,2892000,114.0,0.0,13213460
2024-10-01,7029704,4401936,2941000,161.0,0.0,14372640
2024-11-01,6167202,4011289,2758000,106.0,0.0,12936491
2024-12-01,6070004,3462304,2240000,174.0,0.0,11772308
2025-01-01,6397540,3910049,2530000,177.0,0.0,12837589
2025-02-01,6096066,3996112,2711000,174.0,0.0,12803178
2025-03-01,6787434,4165488,3124000,100.0,0.0,14076922
2025-04-01,6130139,3774351,2715000,76.0,3.2,12619490
2025-05-01,6501756,4099580,2918000,99.0,0.0,13519336
2025-06-01,6192518,3694706,2456000,109.0,0.0,12343224
2025-07-01,6027177,3994399,3096000,93.0,0.0,13117576
2025-08-01,6420728,3405442,2174000,107.0,0.0,12000170
2025-09-01,6614770,3740083,3054000,137.0,0.0,13408853
2025-10-01,6499195,3967481,3066000,112.0,0.0,13532676
2025-11-01,6965195,3652136,2568000,131.0,0.0,13185331
2025-12-01,6362427,3250127,1986000,98.0,0.0,11598554
2026-01-01,6717010,3230405,2482000,82.0,0.0,12429415
